iter	Passed	Remaining
593	2844	1944
594	2849	1939
595	2854	1934
596	2858	1929
597	2863	1925
598	2868	1920
599	2873	1915
600	2877	1910
601	2882	1905
602	2887	1900
603	2892	1896
604	2896	1891
605	2901	1886
606	2906	1881
607	2910	1876
608	2915	1871
609	2920	1867
610	2925	1862
611	2929	1857
612	2934	1852
613	2939	1848
614	2944	1843
615	2949	1838
616	2953	1833
617	2958	1828
618	2962	1823
619	2967	1818
620	2972	1813
621	2976	1809
622	2981	1804
623	2986	1799
624	2990	1794
625	2995	1789
626	3000	1784
627	3004	1779
628	3008	1774
629	3013	1769
630	3018	1765
631	3022	1760
632	3027	1755
633	3032	1750
634	3036	1745
635	3041	1740
636	3046	1736
637	3051	1731
638	3056	1726
639	3060	1721
640	3065	1716
641	3070	1712
642	3075	1707
643	3079	1702
644	3084	1697
645	3089	1692
646	3093	1688
647	3098	1683
648	3103	1678
649	3107	1673
650	3112	1668
651	3117	1664
652	3122	1659
653	3127	1654
654	3132	1649
655	3137	1645
656	3141	1640
657	3146	1635
658	3151	1630
659	3155	1625
660	3160	1621
661	3165	1616
662	3170	1611
663	3175	1606
664	3180	1602
665	3185	1597
666	3189	1592
667	3194	1587
668	3198	1582
669	3203	1577
670	3208	1573
671	3212	1568
672	3217	1563
673	3222	1558
674	3227	1553
675	3231	1548
676	3236	1544
677	3241	1539
678	3246	1535
679	3251	1530
680	3256	1525
681	3261	1520
682	3266	1515
683	3270	1511
684	3275	1506
685	3280	1501
686	3284	1496
687	3289	1491
688	3293	1486
689	3298	1481
690	3302	1477
691	3307	1472
692	3312	1467
693	3317	1462
694	3321	1457
695	3326	1452
696	3330	1448
697	3335	1443
698	3340	1438
699	3345	1433
700	3349	1428
701	3354	1423
702	3359	1419
703	3363	1414
704	3368	1409
705	3373	1404
706	3377	1399
707	3382	1395
708	3387	1390
709	3392	1385
710	3396	1380
711	3401	1375
712	3406	1371
713	3410	1366
714	3415	1361
715	3420	1356
716	3425	1351
717	3429	1347
718	3435	1342
719	3439	1337
720	3444	1332
721	3449	1328
722	3454	1323
723	3459	1318
724	3464	1314
725	3469	1309
726	3473	1304
727	3478	1299
728	3483	1294
729	3488	1290
730	3492	1285
731	3497	1280
732	3501	1275
733	3506	1270
734	3511	1266
735	3516	1261
736	3521	1256
737	3525	1251
738	3530	1246
739	3535	1242
740	3540	1237
741	3544	1232
742	3549	1227
743	3554	1222
744	3558	1218
745	3563	1213
746	3568	1208
747	3572	1203
748	3577	1198
749	3582	1194
750	3587	1189
751	3591	1184
752	3596	1179
753	3601	1175
754	3606	1170
755	3611	1165
756	3616	1160
757	3620	1155
758	3625	1151
759	3630	1146
760	3634	1141
761	3639	1136
762	3644	1131
763	3648	1127
764	3653	1122
765	3657	1117
766	3662	1112
767	3667	1107
768	3672	1103
769	3676	1098
770	3681	1093
771	3686	1088
772	3691	1083
773	3695	1079
774	3700	1074
775	3705	1069
776	3709	1064
777	3714	1059
778	3718	1055
779	3724	1050
780	3729	1045
781	3735	1041
782	3741	1036
783	3746	1032
784	3752	1027
785	3757	1023
786	3762	1018
787	3768	1013
788	3773	1009
789	3778	1004
790	3783	999
791	3788	994
792	3793	990
793	3798	985
794	3803	980
795	3809	976
796	3813	971
797	3818	966
798	3823	961
799	3828	957
800	3834	952
801	3839	947
802	3844	943
803	3849	938
804	3854	933
805	3860	929
806	3865	924
807	3869	919
808	3874	914
809	3879	910
810	3884	905
811	3889	900
812	3894	895
813	3898	890
814	3903	886
815	3908	881
816	3913	876
817	3918	871
818	3924	867
819	3929	862
820	3934	857
821	3939	853
822	3944	848
823	3949	843
824	3954	838
825	3959	834
826	3964	829
827	3969	824
828	3974	819
829	3979	815
830	3984	810
831	3988	805
832	3993	800
833	3999	796
834	4004	791
835	4009	786
836	4013	781
837	4018	776
838	4022	771
839	4027	767
840	4032	762
841	4036	757
842	4041	752
843	4045	747
844	4050	743
845	4055	738
846	4059	733
847	4064	728
848	4069	723
849	4074	719
850	4079	714
851	4084	709
852	4089	704
853	4093	699
854	4098	695
855	4103	690
856	4108	685
857	4113	680
858	4117	675
859	4122	671
860	4127	666
861	4132	661
862	4136	656
863	4141	651
864	4146	647
865	4150	642
866	4155	637
867	4160	632
868	4164	627
869	4169	623
870	4174	618
871	4178	613
872	4183	608
873	4188	603
874	4192	598
875	4197	594
876	4202	589
877	4206	584
878	4211	579
879	4216	574
880	4221	570
881	4226	565
882	4230	560
883	4235	555
884	4240	550
885	4244	546
886	4249	541
887	4254	536
888	4259	531
889	4264	527
890	4269	522
891	4273	517
892	4278	512
893	4283	507
894	4287	503
895	4292	498
896	4297	493
897	4301	488
898	4306	483
899	4311	479
900	4316	474
901	4320	469
902	4325	464
903	4329	459
904	4334	454
905	4339	450
906	4344	445
907	4348	440
908	4353	435
909	4358	431
910	4362	426
911	4367	421
912	4371	416
913	4376	411
914	4381	406
915	4386	402
916	4390	397
917	4395	392
918	4399	387
919	4404	382
920	4408	378
921	4413	373
922	4418	368
923	4422	363
924	4427	358
925	4432	354
926	4437	349
927	4441	344
928	4446	339
929	4451	335
930	4455	330
931	4460	325
932	4465	320
933	4469	315
934	4474	311
935	4479	306
936	4484	301
937	4489	296
938	4493	291
939	4498	287
940	4503	282
941	4507	277
942	4512	272
943	4517	267
944	4521	263
945	4526	258
946	4531	253
947	4535	248
948	4540	243
949	4545	239
950	4549	234
951	4554	229
952	4558	224
953	4564	220
954	4569	215
955	4573	210
956	4578	205
957	4583	200
958	4588	196
959	4593	191
960	4598	186
961	4603	181
962	4608	177
963	4614	172
964	4619	167
965	4624	162
966	4630	158
967	4635	153
968	4640	148
969	4645	143
970	4650	138
971	4655	134
972	4660	129
973	4665	124
974	4670	119
975	4675	114
976	4680	110
977	4685	105
978	4690	100
979	4695	95
980	4700	91
981	4705	86
982	4709	81
983	4714	76
984	4719	71
985	4723	67
986	4728	62
987	4733	57
988	4737	52
989	4742	47
990	4747	43
991	4752	38
992	4757	33
993	4761	28
994	4766	23
995	4771	19
996	4775	14
997	4780	9
998	4785	4
999	4789	0
