iter	RMSE
175	0.4113760248
176	0.4111884055
177	0.4109260523
178	0.410804043
179	0.4106456619
180	0.4105087165
181	0.410344009
182	0.4101079849
183	0.4098914585
184	0.4096681226
185	0.4094965136
186	0.4093938477
187	0.4092637825
188	0.4091010213
189	0.4089366092
190	0.4087919868
191	0.408616252
192	0.4083952632
193	0.4082587532
194	0.4081270453
195	0.4080168245
196	0.407830376
197	0.4077197942
198	0.4075674304
199	0.4073760802
200	0.4072330905
201	0.407017618
202	0.4069127628
203	0.4068194255
204	0.4066380128
205	0.4064731513
206	0.4063313459
207	0.4061762383
208	0.4060620665
209	0.4059729445
210	0.4058050841
211	0.4056743515
212	0.4055339689
213	0.4054116698
214	0.4052275472
215	0.4050424974
216	0.4048954464
217	0.4047416395
218	0.4046373316
219	0.4044749523
220	0.4042842248
221	0.4041400405
222	0.4039566184
223	0.4038311066
224	0.4037172942
225	0.4036087403
226	0.4033100249
227	0.4031621963
228	0.4030453759
229	0.4029028669
230	0.4027261981
231	0.4025959941
232	0.4024792701
233	0.4023669713
234	0.4022093467
235	0.4020548761
236	0.4019333878
237	0.4018350888
238	0.4017250055
239	0.4016223392
240	0.4014716531
241	0.4013610711
242	0.4012598055
243	0.4011387475
244	0.4010443427
245	0.4007992873
246	0.4006925443
247	0.4006001769
248	0.4005269462
249	0.4004027128
250	0.4001770791
251	0.4000488304
252	0.3998921462
253	0.39974736
254	0.3996205401
255	0.3994624743
256	0.3993648492
257	0.3993002355
258	0.3991401829
259	0.3990101195
260	0.3989067551
261	0.3987687338
262	0.3986368843
263	0.3985087139
264	0.3983583035
265	0.3982973271
266	0.3981803939
267	0.3980735895
268	0.3979936047
269	0.3978699859
270	0.3976977195
271	0.3975792515
272	0.3974065486
273	0.3972942718
274	0.3972160507
275	0.3971255817
276	0.397042259
277	0.3969548307
278	0.3968245456
279	0.3967145287
280	0.3966383179
281	0.3965120416
282	0.3964073339
283	0.3962648824
284	0.3961129926
285	0.3960035525
286	0.3959441264
287	0.3958579983
288	0.3957532901
289	0.3956092704
290	0.3954686082
291	0.3953995788
292	0.3953095896
293	0.3952388619
294	0.3951739675
295	0.39507595
296	0.3950190264
297	0.3948413294
298	0.3946870751
299	0.394630177
300	0.3945656061
301	0.3944690239
302	0.3943440437
303	0.3942529631
304	0.3941439119
305	0.393998089
306	0.3939212888
307	0.3938487446
308	0.3937381464
309	0.3936287836
310	0.3935280186
311	0.3934307061
312	0.3933028308
313	0.3932094371
314	0.3930985287
315	0.3930478475
316	0.3929586812
317	0.3929063176
318	0.3928026145
319	0.3926895131
320	0.3925653431
321	0.3924883213
322	0.3924426118
323	0.3923265052
324	0.3922164503
325	0.3921471337
326	0.3920265155
327	0.3919117319
328	0.3918550366
329	0.3917738993
330	0.3917144564
331	0.3916279489
332	0.391556435
333	0.391486599
334	0.3914023256
335	0.391334391
336	0.3912443199
337	0.3911665612
338	0.3910873056
339	0.3910109753
340	0.3908836063
341	0.3908021297
342	0.3907193807
343	0.390659471
344	0.390568192
345	0.390463342
346	0.3902831099
347	0.3901147496
348	0.3899663313
349	0.3899068519
350	0.3897829117
351	0.389689329
352	0.3896036015
353	0.3894845419
354	0.3893641086
355	0.3893150861
356	0.3892215313
357	0.3891585745
358	0.389070906
359	0.3889206943
360	0.3888322125
361	0.3887559821
362	0.388652922
363	0.3885811052
364	0.3884985849
365	0.3884743966
366	0.3883866307
367	0.3883117772
368	0.3882569222
369	0.388169848
370	0.3880819693
371	0.3880212457
372	0.3878996895
373	0.387858453
374	0.3877904325
375	0.3877251552
376	0.3876171714
377	0.3875477458
378	0.3874258428
379	0.3873371138
380	0.3872468763
381	0.3871904009
382	0.3871154704
383	0.3870473058
384	0.3869507868
385	0.3868897653
386	0.3868326301
387	0.38674841
388	0.3866963471
389	0.3866416967
390	0.3864939637
391	0.3863875303
392	0.3863360364
393	0.3862825484
394	0.386228048
395	0.3861711386
396	0.386035492
397	0.385987525
398	0.3859144659
399	0.385849717
400	0.3857611143
401	0.3856808888
402	0.3856168114
403	0.385528067
404	0.3854595311
405	0.3853366929
406	0.3852092444
407	0.3851697394
408	0.3851021017
409	0.3850452792
410	0.3849625999
411	0.3849236557
412	0.3848366244
413	0.384774014
414	0.3846902903
415	0.3846179579
416	0.3844900642
417	0.3844462484
418	0.3843751726
419	0.3843220379
420	0.3842411199
421	0.3841927217
422	0.3840988282
423	0.3840424467
424	0.3839751257
425	0.3837787428
426	0.3837283685
427	0.3836790177
428	0.3836288012
429	0.383550466
430	0.3835055432
431	0.3833534908
432	0.3833177994
433	0.3832536835
434	0.38319973
435	0.3831536672
436	0.3830937647
437	0.383005693
438	0.3828652451
439	0.3828047179
440	0.3827295379
441	0.3826419682
442	0.3825810545
443	0.382521625
444	0.3824389488
445	0.3823835312
446	0.3822547724
447	0.382226919
448	0.3821243199
449	0.3820543446
450	0.3820052549
451	0.3819200003
452	0.381841877
453	0.3817827144
454	0.3817074459
455	0.3816071125
456	0.381501294
457	0.3814093006
458	0.3813611623
459	0.3813089518
460	0.3812408434
461	0.3811806911
462	0.3811296549
463	0.3810798088
464	0.3810539476
465	0.3809631797
466	0.3808506471
467	0.3808277146
468	0.3806914555
469	0.3806003649
470	0.3805299494
471	0.3804810521
472	0.3804171931
473	0.3803292041
474	0.3802783492
475	0.3802274219
476	0.3801548528
477	0.3801197616
478	0.3800070087
479	0.3798849447
480	0.3798207587
481	0.3797748188
482	0.379729306
483	0.37962574
484	0.3795924387
485	0.3795162794
486	0.3794401032
487	0.3794148409
488	0.3793077573
489	0.3792548037
490	0.3792181629
491	0.3791507538
492	0.3790892914
493	0.378967343
494	0.3789149702
495	0.3788529949
496	0.3788316849
497	0.3787574755
498	0.3786990458
499	0.378665602
500	0.3786175532
501	0.3785440815
502	0.3785307835
503	0.3784683719
504	0.3783895384
505	0.3783696013
506	0.3782720661
507	0.3782142025
508	0.3781710422
509	0.3781245515
510	0.378101563
511	0.3780368874
512	0.3779929247
513	0.3779236743
514	0.3778475331
515	0.3777560787
516	0.37770121
517	0.3776070345
518	0.3775469089
519	0.377510929
520	0.3774368828
521	0.3773496197
522	0.3773261998
523	0.3772486482
524	0.3771791085
525	0.3771194168
526	0.3770917058
527	0.3770440347
528	0.3770083183
529	0.3769951639
530	0.3769424385
531	0.3768967082
532	0.3768178735
533	0.3767731636
534	0.3767250531
535	0.3766467607
536	0.3765881154
537	0.3765463357
538	0.376481819
539	0.3764139405
540	0.3763245059
541	0.3762890423
542	0.3762416182
543	0.3762193344
544	0.3761598276
545	0.3761028667
546	0.3760634114
547	0.3759812001
548	0.3759661795
549	0.3759033064
550	0.3758322574
551	0.3757674553
552	0.3756890221
553	0.3756281838
554	0.3755802213
555	0.3755072766
556	0.3754622391
557	0.3754005327
558	0.3753513981
559	0.3752949942
560	0.3752238247
561	0.3751491234
562	0.3751227099
563	0.3750340239
564	0.375008292
565	0.3749588929
566	0.3748802251
567	0.3748309353
568	0.3747700175
569	0.3747327274
570	0.3746329874
571	0.3745679367
572	0.3745251335
573	0.3744733656
574	0.3743916358
575	0.3743501616
576	0.3743292253
577	0.3742908151
578	0.3742325047
579	0.3741915906
580	0.3741594313
581	0.3741288799
582	0.3741087607
583	0.3740263793
584	0.3739699582
585	0.3739401022
586	0.3738860012
587	0.3738405923
588	0.3737381692
589	0.3736840266
590	0.3736316917
591	0.3735749529
592	0.3735092323
593	0.373478664
594	0.3734078987
595	0.3733622187
596	0.3733097802
597	0.3732556163
598	0.3732151295
599	0.3731208826
600	0.3730887708
601	0.3730411535
602	0.3729829003
603	0.3728888458
604	0.3728689586
605	0.3728261393
606	0.3727798331
607	0.3727382819
608	0.3726770236
609	0.3725873713
610	0.3725574032
611	0.3724675376
612	0.3724159879
613	0.3723779532
614	0.3723673837
615	0.3723411698
616	0.3722876767
617	0.3722331354
618	0.3721515495
619	0.3720746432
620	0.3720481048
621	0.3720198563
622	0.3719859906
623	0.3719522834
624	0.3718865392
625	0.3718426851
626	0.3718092556
627	0.3717533007
628	0.3716855925
629	0.3716659342
630	0.3716290529
631	0.3715760804
632	0.371536181
633	0.3714794378
634	0.371460365
635	0.3714311849
636	0.3713805725
637	0.3713323247
638	0.3713238204
639	0.3712723488
640	0.3712379958
641	0.3711832565
642	0.371133957
643	0.3710741455
644	0.3710320633
645	0.3709780787
646	0.3709264589
647	0.3708771715
648	0.3708006285
649	0.3707797701
650	0.3706691733
651	0.3706148767
652	0.3705671717
653	0.3704789783
654	0.3704151925
655	0.3703428105
656	0.3702428796
657	0.3701705473
658	0.3701056026
659	0.3700316457
660	0.369981795
661	0.3699226539
662	0.3698726957
663	0.3698420541
664	0.3697872535
665	0.3697311597
666	0.3696535531
667	0.369602474
668	0.3695745503
669	0.3694851352
670	0.3694482994
671	0.3693882691
672	0.3693319915
673	0.3692876438
674	0.369228269
675	0.3691747039
676	0.3691119822
677	0.3690795856
678	0.3690323458
679	0.3689314064
680	0.3688886048
681	0.3688388866
682	0.368755687
683	0.368696255
684	0.3686511527
685	0.3686052285
686	0.3685681144
687	0.3685170637
688	0.36846606
689	0.3684248633
690	0.3683659658
691	0.3683146996
692	0.3682668351
693	0.3682317737
694	0.3681535311
695	0.3680640778
696	0.3679990675
697	0.3679712156
698	0.3679528486
699	0.3679176248
700	0.3678459235
701	0.3678004789
702	0.3677600746
703	0.3677148417
704	0.3676914814
705	0.3676383162
706	0.3675756919
707	0.367561109
708	0.3674936379
709	0.367478331
710	0.3674356461
711	0.3673713056
712	0.3673367744
713	0.3673193262
714	0.3672538494
715	0.3672138523
716	0.3671870855
717	0.3671593757
718	0.3671388887
719	0.3671104549
720	0.367074731
721	0.367051079
722	0.3670252688
723	0.3669846854
724	0.3669583585
725	0.366894775
726	0.3668513873
727	0.3667967139
728	0.3667496845
729	0.3666915843
730	0.3666511608
731	0.3666059632
732	0.3665560926
733	0.3664907203
734	0.3664403048
735	0.3663987456
736	0.3663599427
737	0.3662779554
738	0.366231834
739	0.3661478313
740	0.3661182726
741	0.3660882927
742	0.3660604119
743	0.3660407041
744	0.3659981344
745	0.365979805
746	0.3659497401
747	0.3658796851
748	0.365833827
749	0.3657647803
750	0.3656727927
751	0.3655944295
752	0.3655621394
753	0.3654596047
754	0.3654220938
755	0.3653748246
756	0.3653428104
757	0.3652749299
758	0.3652402606
759	0.3652050116
760	0.3651636009
761	0.3650801359
762	0.3650458229
763	0.3650177421
764	0.3649459375
765	0.3649066095
766	0.3648484625
767	0.364791463
768	0.3647712457
769	0.3647393932
770	0.3646747027
771	0.3646509421
772	0.3646137076
773	0.3645687442
774	0.3645284633
775	0.3644908228
776	0.3644484018
777	0.3644020918
778	0.3643715249
779	0.3643394125
780	0.3642981465
781	0.3642694934
782	0.3642236394
783	0.3641949078
784	0.3641461713
785	0.364138717
786	0.3641202358
787	0.3640798397
788	0.3640444669
789	0.3640057223
790	0.3639686508
791	0.3638941242
792	0.3638502204
793	0.3638137739
794	0.3637541981
795	0.3637256845
796	0.3636855363
797	0.3636329489
798	0.3635985055
799	0.3635343887
800	0.3634907098
801	0.3634441277
802	0.3634224217
803	0.3634152638
804	0.3633651243
805	0.3633141362
806	0.3632872796
807	0.3632118726
808	0.3631792137
809	0.3631296336
810	0.3630841281
811	0.363075541
812	0.3630292742
813	0.3629885552
814	0.3629504163
815	0.3628981082
816	0.3628760612
817	0.362836626
818	0.3628091276
819	0.3627555114
820	0.3626990294
821	0.3626619136
822	0.3625766658
823	0.3625466448
824	0.3624992304
825	0.3624787268
826	0.3624300102
827	0.3624034159
828	0.3623825316
829	0.3623580885
830	0.3623191669
831	0.3622846668
832	0.3622655251
833	0.3622084788
834	0.3621824146
835	0.3621490429
836	0.3620752981
837	0.3620582741
838	0.3620182098
839	0.3619530753
840	0.3619313586
841	0.3619010885
842	0.3618673294
843	0.361816147
844	0.361798153
845	0.3617580927
846	0.36171738
847	0.3616825918
848	0.3616261761
849	0.3615692547
850	0.3615224822
851	0.3614802805
852	0.3614264063
853	0.3613582425
854	0.3613039883
855	0.3612222155
856	0.3611640118
857	0.3611317822
858	0.3610792711
859	0.3610223463
860	0.360985343
861	0.3609747138
862	0.3609577361
863	0.3608949477
864	0.3608712253
865	0.3608196064
866	0.3607923077
867	0.3607532946
868	0.3606946733
869	0.3606595635
870	0.360636416
871	0.3605820906
872	0.3605303413
873	0.360497207
874	0.3604783314
875	0.3604393573
876	0.3603782274
877	0.3603139356
878	0.3602767155
879	0.3602421337
880	0.360214934
881	0.3601697778
882	0.3601442002
883	0.3600827859
884	0.3600687689
885	0.3599927037
886	0.3599655497
887	0.35994544
888	0.3599113761
889	0.3598471971
890	0.3597862362
891	0.3597580927
892	0.3597235073
893	0.3596752026
894	0.3596223817
895	0.3595776659
896	0.3595413124
897	0.3595050324
898	0.3594779516
899	0.3594189194
900	0.3593473578
901	0.3593127292
902	0.3592801447
903	0.3592193093
904	0.3591880319
905	0.3591553859
906	0.3591279012
907	0.359103103
908	0.3590842057
909	0.3590510034
910	0.3590153904
911	0.3589842716
912	0.3589533712
913	0.3589210455
914	0.3589011457
915	0.3588785236
916	0.3588584408
917	0.3588210018
918	0.3587948106
919	0.3587720673
920	0.3587443361
921	0.3587130135
922	0.3586639708
923	0.3586375537
924	0.3585989943
925	0.3585682325
926	0.3585364629
927	0.3585079231
928	0.3584852071
929	0.3584488612
930	0.3584053054
931	0.3583704392
932	0.3583326883
933	0.3582945323
934	0.3582495678
935	0.3582186556
936	0.3581971857
937	0.3581549815
938	0.3581340711
939	0.3580938227
940	0.3580491101
941	0.358001737
942	0.3579675041
943	0.3579431283
944	0.3579245762
945	0.3578757859
946	0.357846398
947	0.3577767925
948	0.3577063214
949	0.3576702289
950	0.3576108852
951	0.3575893566
952	0.3575642149
953	0.3575280373
954	0.3575100338
955	0.3574658155
956	0.3574411784
957	0.3573999837
958	0.3573492098
959	0.3573069426
960	0.3572724669
961	0.3572081369
962	0.357179694
963	0.3571557509
964	0.3570735222
965	0.3570515873
966	0.3570197216
967	0.3569908344
968	0.3569439465
969	0.3568693632
970	0.3568426959
971	0.3568163967
972	0.356784374
973	0.3567510632
974	0.3567181456
975	0.3566792023
976	0.3566233635
977	0.3565688917
978	0.356529788
979	0.3565037265
980	0.3564751269
981	0.3564471528
982	0.3564218567
983	0.3563950431
984	0.3563526366
985	0.3562898609
986	0.3562638127
987	0.3562167966
988	0.3561973185
989	0.3561480056
990	0.3560953747
991	0.356076236
992	0.3560556277
993	0.3560448308
994	0.3560058283
995	0.3559581647
996	0.355923196
997	0.3558922353
998	0.3558643852
999	0.3558511232
